"id";"unique_id";"name";"strasse_nr";"plz";"art";"angebot";"lieferung";"beschreibung_lieferangebot";"selbstabholung";"angebot_selbstabholung";"fon";"w3";"mail";"montag";"dienstag";"mittwoch";"donnerstag";"freitag";"samstag";"sonntag"
"3402";"1162";"Chicago Williams Berlin-Mitte GmbH";"Hannoversche Straße 2";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"BBQ Menü";"WAHR";"Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht";"WAHR";"Bestellungen und Abholen zw. 12:00 - 21:00 Uhr";"+493028042423";"https://chicagowilliamsbbq.de/";"office@chicagowilliamsbbq.com";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00"
"3150";"1076";"housekeeping - Haushaltswaren | home & living";"Invalidenstraße 152";"10115";"Haushalt";"Wohnaccessoires & Praktisches für den Haushalt. waschen - trocknen - bügeln - aufbewahren - ordnen.  Ganz schön praktisch!";"WAHR";"Abholung oder Lieferung nachhause und nach Vereinbarung. Lieferungen nur in PLZ 10115";"WAHR";"Abholung oder Lieferung nachhause und nach Vereinbarung";"+4917651507809";"https://berlin-housekeeping.de";"info@berlin-housekeeping.de";"";"";"";"";"";"";""
"3408";"1164";"eins essenundtrinken";"eichendorffstraße 1";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"regional nicht festgelegt, taeglich wechselnder mittagstisch";"FALSCH";"";"WAHR";"to go' jeweils ab 12h mittags - bestellannahme telefonisch ab 10h - 992 78 701";"+493099278701";"";"";"10:00-15:00";"10:00-15:00";"10:00-15:00";"10:00-15:00";"10:00-15:00";"";""
"858";"296";"Nhat Long Restaurant";"Torstraße 210";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Asiatische Küche";"WAHR";"Online Essen auf nhatlong-lieferservice.de oder über unser App bestellen.";"WAHR";"Telefonisch vorbestellen";"+493067962236";"https://www.nhat-long.de";"kontakt@nhat-long.de";"11:30-22:45";"11:30-22:45";"11:30-22:45";"11:30-22:45";"11:30-23:00";"11:30-23:00";"11:30-23:00"
"3675";"1253";"Royals&Rice Berlin";"Torstraße 164";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Unser kulinarisches Angebot bietet eine Vielzahl unterschiedlichster Köstlichkeiten. Hierzu gehören u.a. vietnamesisches Streetfood, Bao-Burger, klassisches und veganes Sushi, besondere Sommerrollen, kreative Currys und vieles mehr";"WAHR";"Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht";"WAHR";"Bestellungen zum abholen bieten wir täglich von 12:00 - 21:00 , unser Menü finden sie auf unserer Webseite";"+493066405111";"https://www.royalsandriceberlin.de";"info@royalsandriceberlin.de";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00"
"609";"206";"beets&roots";"Große-Hamburger Straße 38";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Fresh & Healthy bowls, salads & wraps";"WAHR";"Lieferando, office order (mit selbst Lieferung)";"WAHR";"Ihr können online bestellen und in unserer Restaurant abholen.";"+491734093502";"https://www.beetsandroots.de";"contact@beetsandroots.de";"11:00-15:00";"11:00-15:00";"11:00-15:00";"11:00-15:00";"11:00-15:00";"";""
"2913";"994";"rebenkind";"Invalidenstraße 104";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Weinladen, Vinothek & Online-Shop (Weine, Spirituosen und Spezialitäten)";"WAHR";"Lieferservice in Berlin-Mitte ab 6 Flaschen beliebig sortiert versandkostenfrei/Deutschlandweiter Versand mit UPS";"WAHR";"";"+493027993733";"https://www.rebenkind-weine.de";"info@rebenkind.de";"";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-22:00";"11:00-18:00";""
"108";"36";"essen--fassen";"Rheinsberger Straße 1";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"belegte Brötchen, Salate, Obst";"FALSCH";"";"FALSCH";"";"+491734797784";"https://www.essen--fassen.de";"FFi123@gmx.de";"";"";"";"";"";"";""
"3438";"1174";"Restaurant Esszimmer";"Scharnhorststraße 28-29";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Deutsche und regionale Küche";"FALSCH";"";"WAHR";"Ab dem 27.04.2020 ist eine Abholung zwischen 12,00 Uhr und 20,00 Uhr möglich.";"+493020215301";"https://www.esszimmer-berlin.de";"kontakt@esszimmer-berlin.de";"";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";""
"2433";"830";"Café Bar Central";"Brunnenstraße 49";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Kaffeespezialitäten, Backwaren, Sandwiches, kalte und warme Speisen/Lunch, Salate";"FALSCH";"";"WAHR";"Telefonische Bestellung möglich innerhalb der Öffnungszeiten 10:00-16:00 Uhr (Werktags)";"+4915204463307";"https://www.cafebar-central.com";"mail@cafebar-central.com";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00";"11:00-17:00";""
"2691";"917";"Plain Wine";"Brunnenstraße 43";"10115";"Getränkemarkt";"Naturwein jeden Monat per Onlinebestellung";"WAHR";"Wir liefern in ganz Deutschland jeden Monat 3 Flaschen Naturwein.";"FALSCH";"";"+4915168197705";"https://plain.wine";"hi@plain.wine";"";"";"";"";"";"";""
"390";"131";"Subway Catering";"Chausseestraße 22";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Sandwichplatten, Cookieschalen, Getränke";"WAHR";"Berlin";"WAHR";"Für Cateringplatten benötigen wir einen Vorlauf, wie auf unserer Website beschrieben.";"+4915201925004";"https://sandwich-catering-berlin.de";"sandwich-catering@berlin.de";"08:00-23:00";"08:00-23:00";"08:00-23:00";"08:00-23:00";"08:00-23:00";"10:00-23:00";"10:00-23:00"
"660";"224";"Swipeby.de";"Wöhlerstraße 12-13";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Online Bestellservice  mit Bedienung ans Auto";"WAHR";"alle Restaurants können sich anmelden. Kunden bestellen per App und holen die Bestellung am Restaurant ab";"WAHR";"alle angemeldeten Restaurant können ihre gesamte Speisekarte anbieten";"+493028448108";"https://www.swipeby.de";"info@swipeby.de";"";"";"";"";"";"";""
"2964";"1011";"Bötzow Privat";"Linienstraße 113";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Deutsche Küche, Wiener Schnitzel...";"WAHR";"Lieferung über Lieferando. Ansonsten take away vor Ort";"WAHR";"Deutsche Küche, Wiener Schnitzel, Spargel...";"+491774655251";"https://www.boetzow-privat.de";"kontakt@boetzow-privat.de";"13:00-21:00";"13:00-21:00";"13:00-21:00";"13:00-21:00";"13:00-21:00";"13:00-21:00";"13:00-21:00"
"3735";"1273";"Fastfood";"Chausseestraße 110";"10115";"Baumarkt";"";"FALSCH";"";"FALSCH";"";"";"";"";"";"";"";"";"";"";""
"1446";"497";"Chimosa";"Linienstraße 127";"10115";"Gesundheit";"Martial Arts | Fitness | Yoga | Tee";"WAHR";"Wir liefern Onlinekurse!";"FALSCH";"";"+4915234251980";"https://www.chimosa.de/";"info@chimosa.de";"";"";"";"";"";"";""
"1962";"670";"GUT.GUT.";"Schröderstraße 10";"10115";"Getränkemarkt";"lebende aktive fermentierte Getränke (kombucha and Kefir Wasser)";"WAHR";"Lieferungen mit GUT.GUT. In Ring mit UPS überall Deutschland";"WAHR";"By appointment only";"+491629039474";"https://www.gutgut.co";"sales@gutgut.co";"10:00-18:00";"";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-16:00";""
"687";"234";"Röststätte Berlin";"Ackerstraße 173";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Frisch geröstete Kaffee - und Espressobohnen, Kaffeegetränke, Kaffeespezialitäten zu Mitnehmen, Frische Backwaren, Kuchen und Torten zum Mitnehmen";"FALSCH";"";"WAHR";"";"+493040501650";"https://www.roeststaette.com";"info@roeststaette.com";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"09:30-18:00";"09:30-18:00"
"693";"236";"Bowls & Booze";"Torstraße 164";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Food und Drink Kooperation mit den ""Gebrüder Eggert"". Wir bieten 3 ""Food + Drink Menüs"" an. Leckeres Essen mit den dazu passenden Getränken, mit oder ohne Alkohol. Zum abholen oder liefern.";"WAHR";"Lieferungen über Lieferando im Umkreis von 5km";"WAHR";"";"+493062924947";"";"watch@pawndotcombar.berlin";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00"
"1977";"675";"Hito Falafel";"Chausseestraße 4";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Arabische-Orientalische Küche";"FALSCH";"";"WAHR";"";"+4917684670050";"";"hito-falafel@gmx.de";"";"";"";"";"";"";""
"1731";"593";"Essen statt Kochen Lieferservice";"Rheinsberger Straße 1";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Internationale moderne Hausmannskost";"WAHR";"Wir liefern in ganz Berlin ab 1 Person";"FALSCH";"";"+493076677763";"https://www.essen-statt-kochen.de";"frage@essen-statt-kochen.de";"";"10:00-14:00";"10:00-14:00";"10:00-14:00";"10:00-14:00";"";""
"2256";"770";"CORDO";"Große Hamburger Straße 32";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Michelin besterntes Fine Dining";"WAHR";"Lieferung eines festlichen Menüs bis 5km Umkreis. Menüpreis € 59. Alle Details auf unserer Webseite";"WAHR";"Bestellungen zum Liefern oder Abholen müssen uns am Vortag erreichen, am gleichen Tag bis maximal 13 Uhr bitte.";"+493027581215";"https://cordo.berlin/";"cordo@cordo.berlin";"16:00-19:30";"";"";"16:00-19:30";"16:00-19:30";"16:00-19:30";"16:00-19:30"
"3537";"1207";"taeshy Handtaschenhalter Manufaktur";"Scharnhorststraße 7e";"10115";"Anderes (bitte bei der nächsten Frage beschreiben)";"Exklusive Handtaschenhalter - Handmade in Germany - Schmuckstücke und praktische Helfer in einem.";"WAHR";"Einfach im Online-Shop bestellen, wir liefern per DHL.";"WAHR";"Bei Selbstabholung bitte Termin vereinbaren.";"+491736726892";"https://taeshy.de";"info@taeshy.de";"";"";"";"";"";"";""
"2274";"776";"INKAICO";"Rheinsberger Straße 76/77";"10115";"Mode / Bekleidung";"handgemachte Schuhe aus Peru";"WAHR";"Kostenlose Lieferung deutschlandweit. Unsere aktuellen Lieferzeiten werden auf unsere Webseite veröffentlicht.";"FALSCH";"";"+4917645987882";"https://inkaicos.de";"services@inkaicos.de";"";"";"";"";"";"";""
"1512";"519";"Kroehan, Bress & Co. KG";"Ackerstraße 145";"10115";"Anderes (bitte bei der nächsten Frage beschreiben)";"Zigarren und Zubehör, Spirituosen wie Whisky, Rum, Gin, Wein, Champagner, Kaffee und andere Genussgüter.";"WAHR";"Wir liefern unsere gesamten Produkte nach Bestellung via Mail, Telefon oder online unter www.herrenwerk.de";"WAHR";"Innerhalb unserer Geschäftszeiten Mo-Sa 11:00-20:00 Uhr können unsere Produkte direkt oder nach vorheriger Rücksprache herausgegeben werden.";"+493030874892";"https://www.kroehanbress.de";"mail@kroehanbress.de";"11:00-20:00";"11:00-20:00";"11:00-20:00";"11:00-20:00";"11:00-20:00";"11:00-20:00";""
"2583";"308";"Izumo Restaurant-Sushi Bar";"Kronenstraße 66";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Japanische Küche, Sushi";"WAHR";"Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht";"WAHR";"";"+493020649938";"https://www.sushi-izumi.de";"info@sushi-izumi.de";"";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00"
"24";"8";"BEB SO CATERING";"Gertrud Kolmar str 4";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Konferenz Service Finger Food";"FALSCH";"";"FALSCH";"";"+491723812093";"";"";"";"";"";"";"";"";""
"3609";"1231";"JOSEPH Restaurant";"Friedrichstraße 113";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Isrealiesche Küche";"FALSCH";"";"WAHR";"Das Joseph Restaurant hat Montag-Samstags von 12 Uhr - 20 Uhr geöffnet. Bestellungen können telefonisch oder online erfolgen. Zudem bieten wir ein 3-Gang Menü an, welches 2 Tage im Voraus bestellt werden kann.";"+4930314950700";"http://www.josephberlin.de";"info@josephberlin.de";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";""
"558";"187";"Quchnia";"Markgrafenstraße 35";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Salate, Suppen, Spargel, Schnitzel. Quinta Bowls, Pizza, Pasta und Kuchen";"WAHR";"Im Umkreis von 6 Km";"WAHR";"Montag bis Sonntag von 12:00 Uhr bis 20:00 uhr";"+493020609286";"https://www.quchnia.de";"info@quchnia.de";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00"
"3132";"1069";"Restaurant ALvis";"Albrechtstraße 8";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"UNSER ANGEBOT:  Tagesgericht inkl. Vorspeise oder Dessert | 10€  Suppe des Tages | 5";"FALSCH";"";"WAHR";"UNSER ANGEBOT:  Tagesgericht inkl. Vorspeise oder Dessert | 10€  Suppe des Tages | 5€. Abholung ist von Mo bis Fr in der Zeit von 12 bis 15 Uhr möglich";"+493030886560";"https://www.alvis-restaurant.de/";"kontakt@alvis-restaurant.de";"11:00-18:00";"11:00-18:00";"11:00-18:00";"11:00-18:00";"11:00-18:00";"11:00-18:00";"11:00-18:00"
"3648";"1244";"Peking Ente Berlin";"Voßstraße 1";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Chinesische Spezialitäten im Regierungsviertel";"WAHR";"Lieferung innerhalb des S-Bahn-Rings";"WAHR";"Anrufen, bestellen, innerhalb von 20 Minuten abholen.";"+49302294523";"https://www.peking-ente-berlin.de";"tang@peking-ente-berlin.de";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"13:00-20:00";""
"66";"22";"STADTSALAT GmbH";"Friedrichstraße 113";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Gesunde Salate und Bowls";"WAHR";"Wir liefern frische Salate & Bowls kontaktlosen umweltfreundlichen Verpackungen und ausschließlich mit dem Rad. Vegetarische & Vegane Optionen";"WAHR";"Bestellungen zum Abholen müssen über www.stadtsalat.de vorbestellt werden.";"+493027890410";"https://stadtsalat.de/hamburg";"lecker@stadtsalat.de";"11:30-20:30";"11:30-20:30";"11:30-20:30";"11:30-20:30";"11:30-20:30";"12:30-20:30";"12:30-20:30"
"2370";"809";"Sofacompany";"Leipziger Straße 63";"10117";"Möbel";"Unsere Mission: Den Design Möbel Markt revolutionieren. Für uns ist das Sofa das Herzstück in jedem Zuhause. Deshalb haben wir es uns zur Aufgabe gemacht, die alt eingesessene Möbelindustrie herauszufordern und hochwertiges, dänisches Design für jedermann zugänglich zu machen.";"WAHR";"Wir liefern innerhalb von 14 Tagen - 100% kontaktlose Lieferung - Wir liefern bis an deine Wohnungstür - Unsere Logistikpartner sind besonders vorsichtig und liefern dein Paket kontaktlos an dich aus.";"WAHR";"Hole dir Tipps und Ratschläge, welches Sofa am besten zu dir passt indem du unseren Chat kontaktierst. Der Chat ist von Montag bis Sonntag von 09:00-21:00 für dich besetzt. Vereinbare dann einfach einen Abholtermin mit unseren Mitarbeitern vor Ort im Showroom.";"+4930403630530";"https://de.sofacompany.com/";"info-de@sofacompany.com";"09:00-21:00";"09:00-21:00";"09:00-21:00";"09:00-21:00";"09:00-21:00";"09:00-21:00";"09:00-21:00"
"2376";"811";"Sash & Fritz Deutscher Wodka GmbH";"Mohrenstraße 30";"10117";"Anderes (bitte bei der nächsten Frage beschreiben)";"Manufaktur für Wodka und Gin";"WAHR";"";"FALSCH";"";"+493020607540";"https://www.sashundfritz.de";"Bestellung@sashundfritz.de";"";"";"";"";"";"";""
"336";"113";"Restaurant theNOname";"Oranienburger Straße 32";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"hausgemachte Ravioli mit verschiedenen, Fine-Dining-Füllungen, gerne auch mit dem passenden Wein";"WAHR";"Lieferung nach Mitte, Kreuzberg, Friedrichshain und Prenzlauer Berg zwischen 12-19 Uhr";"WAHR";"Abholungen vor Ort zwischen 12-19 Uhr, bitte 10-15 min einkalkulieren.";"+493028877788";"https://www.the-noname.de";"info@the-noname.de";"";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";""
"3156";"1078";"Restaurant acht&dreissig";"Oranienburger Straße 38";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"moderne deutsche Küche";"WAHR";"Lieferung in Berlin-Mitte";"WAHR";"";"+493037465031";"https://www.restaurant38berlin.de";"info@restaurant38berlin.de";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"15:00-20:00";""
"3420";"1168";"Cadadia Suppenbar & Catering";"Charlottenstraße 63";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Urbaner Lifestyle auch beim Lunch: Genießen Sie unsere frischen und gesunden Suppen, Salate, Quiches, Tartes und Desserts in einem stilvollen und relaxtem Ambiente.";"WAHR";"Lieferungen nur in PLZ 10117, 10178, 10969, 10785";"WAHR";"";"+493034620808";"https://www.cadadia.com/";"info@cadadia.com";"11:00-16:00";"11:00-16:00";"11:00-16:00";"11:00-16:00";"11:00-16:00";"";""
"3426";"1170";"SOUPKULTUR";"Markgrafenstraße 22";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Urbaner Lifestyle auch beim Lunch: Genießen Sie unsere frischen und gesunden Suppen, Salate, Pasta- und Reisgerichte und Desserts in einem stilvollen und relaxtem Ambiente.";"FALSCH";"";"WAHR";"";"+493020214714";"https://www.cadadia.com/";"info@cadadia.com";"11:30-14:00";"11:30-14:00";"11:30-14:00";"11:30-14:00";"11:30-14:00";"";""
"2676";"912";"Chupenga Burritos & Salads";"Mohrenstraße 42";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Kalifornisch-Mexikanische Küche";"WAHR";"Mitte, Prenzlauer Berg, Kreuzberg, Friedrichshain";"WAHR";"Bestellungen zum Abholen können 24h bis 30min vorher aufgegeben werden.";"+493023936961";"https://www.chupenga.de";"mail@chupenga.com";"11:30-15:00";"11:30-15:00";"11:30-15:00";"11:30-15:00";"11:30-15:00";"";""
"2166";"740";"Blumen MARSANO GmbH";"Charlottenstraße 75";"10117";"Blumenladen";"tolle Sträuße zu jedem Anlaß";"WAHR";"Lieferung in ganz Berlin";"WAHR";"Bestellungen per Telefon, Mail oder im Onlineshop können im Zeitraum von 10-17 Uhr bei uns abgeholt werden. Bestellungen die bis 10 Uhr bei uns eingehen können am gleichen Tag geliefert werden.";"+49302061473";"https://www.marsano-berlin.de";"info@marsano-berlin.de";"10:00-17:00";"10:00-17:00";"10:00-17:00";"10:00-17:00";"10:00-17:00";"10:00-16:00";""
"3459";"932";"Ristorante Pizzeria Roma";"Friedrichstraße 129";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Italienische Küche";"WAHR";"";"WAHR";"";"+493028878785";"https://roma-ristorante.de";"roma-berlin@hotmail.de";"";"";"";"";"";"";""
"393";"132";"Subway Friedrichstraße";"Friedrichstraße 114";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Amerikanische Küche";"WAHR";"www.Lieferando.de";"WAHR";"";"+493040743335";"https://www.dein-subway.de";"Subway-Friedrichstrasse@ok.de";"09:30-20:00";"09:30-20:00";"09:30-20:00";"09:30-20:00";"09:30-20:00";"11:00-20:00";"11:00-20:00"
"909";"315";"Treffpunkt Berlin ""Alt-Berliner Kneipe""";"Mittelstraße 55";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Deutsche und Berliner Küche";"FALSCH";"";"WAHR";"";"+49302041819";"";"treffpunktberlin@freenet.de";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"";""
"918";"318";"Berlin Capital Club";"Mohrenstraße 30";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Grillspezialitäten, Spargel, Rinderfilet, Lammkeule etc.";"WAHR";"Liefergebiet: Berlin und Potsdam. Bitte geben Sie bei Bestellung die Lieferadresse (evtl. Informationen zum Stockwerk o.ä.), Telefonnummer für Rückfragen und ein Lieferfenster von mindestens 2 Stunden an.";"WAHR";"Bestellungen nehmen wir von Montag bis Samstag von 12.00 bis 18.00 Uhr. Bitte geben Sie bei Ihrer Bestellung den gewünschten Abholtag und die Abholzeit an.";"+49302062976";"https://www.berlincapitalclub.de/de";"events@berlincapitalclub.de";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";""
"1701";"583";"Anand - Indisches Restaurant";"Albrechtstraße 12";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Indische Küche, Parontha, Chicken Korma, Naan, Dosa, Vegane und Vegetarische Gerichte";"WAHR";"";"WAHR";"";"+4915232162750";"https://restaurant-anand.de/";"balvir1970@hotmail.de";"12:00-22:30";"12:00-22:30";"12:00-22:30";"12:00-22:30";"12:00-22:30";"12:00-22:30";"12:00-22:30"
"3498";"1193";"ERDINGER am Gendarmenmarkt";"Jägerstraße 56";"10117";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Bayrische Köstlichkeiten zum Mitnehmen";"FALSCH";"";"WAHR";"Wir bieten ab dem 20. April täglich von 12.00 bis 18.00 unser Mittagsmenü zum Mitnehmen an";"+4930208799800";"https://erdingerberlin.de/";"info@erdingerberlin.de";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00"
